method,ctx_len,depth,correct_frac,mean_logprob_per_token
attn_fixed_topk6_windowed_max,2048,0.1,0.2,-1.0203415393829345
attn_fixed_topk6_windowed_max,2048,0.5,0.0,-3.1738091278076173
attn_fixed_topk6_windowed_max,2048,0.9,0.8,-0.3573208677768708
attn_fixed_topk6_windowed_max,4096,0.1,0.0,-2.566812629699707
attn_fixed_topk6_windowed_max,4096,0.5,0.0,-3.3916695785522464
attn_fixed_topk6_windowed_max,4096,0.9,0.0,-3.0201818847656248
baseline,2048,0.1,1.0,-0.04914109826087952
baseline,2048,0.3,1.0,-0.06387521624565125
baseline,2048,0.5,1.0,-0.0348396760225296
baseline,2048,0.7,1.0,-0.02636795610189438
baseline,2048,0.9,1.0,-0.06612454295158386
baseline,4096,0.1,1.0,-0.07171007394790649
baseline,4096,0.3,1.0,-0.07341681122779846
baseline,4096,0.5,1.0,-0.04090094983577729
baseline,4096,0.7,1.0,-0.0412274831533432
baseline,4096,0.9,1.0,-0.015593618303537369
baseline,8192,0.1,1.0,-0.048700067996978756
baseline,8192,0.3,1.0,-0.017670710980892183
baseline,8192,0.5,1.0,-0.020099249780178068
baseline,8192,0.7,1.0,-0.013340870887041093
baseline,8192,0.9,1.0,-0.009678667336702347
